iter	RMSE
0	14.57558253
1	14.21446578
2	13.85216245
3	13.49871983
4	13.13684329
5	12.84503711
6	12.56181673
7	12.30189116
8	12.01285933
9	11.72601816
10	11.43680027
11	11.20522594
12	10.94945767
13	10.70513052
14	10.47346156
15	10.23531065
16	10.00957808
17	9.800165642
18	9.603028363
19	9.413377813
20	9.251450824
21	9.097266452
22	8.941396229
23	8.773705503
24	8.618755332
25	8.481146994
26	8.348497736
27	8.226352921
28	8.105842489
29	7.986553939
30	7.888052979
31	7.764659891
32	7.665260762
33	7.566751989
34	7.461241999
35	7.371310125
36	7.279350607
37	7.20331639
38	7.12027728
39	7.03938557
40	6.971111237
41	6.902588446
42	6.828606941
43	6.772030498
44	6.713729354
45	6.662316587
46	6.598396818
47	6.540230094
48	6.477301881
49	6.423735327
50	6.366059483
51	6.315235948
52	6.26559661
53	6.21939016
54	6.178324737
55	6.136635687
56	6.097183068
57	6.061486806
58	6.02887148
59	5.998309369
60	5.965768923
61	5.93376905
62	5.902857389
63	5.872513236
64	5.84189845
65	5.815988719
66	5.78820961
67	5.761757171
68	5.736190723
69	5.712723702
70	5.688481447
71	5.671162441
72	5.651459411
73	5.629709091
74	5.603721064
75	5.586205974
76	5.570482276
77	5.54741008
78	5.531789777
79	5.516505288
80	5.498406148
81	5.485734476
82	5.479013367
83	5.464101842
84	5.448977567
85	5.431413418
86	5.418155557
87	5.407101185
88	5.392069166
89	5.380024564
90	5.364097445
91	5.35614443
92	5.345388065
93	5.331430845
94	5.323778723
95	5.310984901
96	5.30142833
97	5.291405921
98	5.281674604
99	5.268622085
100	5.258417537
101	5.248456901
102	5.239742772
103	5.231444632
104	5.224751764
105	5.217510963
106	5.209794791
107	5.200812146
108	5.190177291
109	5.183932201
110	5.175211534
111	5.16899455
112	5.163670935
113	5.155765235
114	5.148620264
115	5.139553105
116	5.137962781
117	5.130733258
118	5.120853805
119	5.112825429
120	5.107543519
121	5.10242472
122	5.097185434
123	5.093430812
124	5.088416319
125	5.082804512
126	5.077420845
127	5.070481327
128	5.062864409
129	5.057706483
130	5.052250317
131	5.047745365
132	5.044218314
133	5.039165743
134	5.032848634
135	5.029193023
136	5.025761253
137	5.022174493
138	5.017599296
139	5.013092973
140	5.00697595
141	5.004557716
142	4.998715273
143	4.993771702
144	4.989447953
145	4.987370506
146	4.984475596
147	4.981564799
148	4.978956934
149	4.97279905
150	4.96981209
151	4.966106486
152	4.960972315
153	4.957189179
154	4.951717896
155	4.946345611
156	4.942983745
157	4.940848517
158	4.9348232
159	4.933253992
160	4.929952956
161	4.923475657
162	4.921554009
163	4.919588986
164	4.913673773
165	4.911330135
166	4.907500174
167	4.900472666
168	4.897494956
169	4.89240278
170	4.887280099
171	4.88185539
172	4.879161373
173	4.874059096
174	4.869304951
175	4.865483447
176	4.861280256
177	4.857744413
178	4.853733006
179	4.849619921
180	4.845560569
181	4.840550296
182	4.837660314
183	4.834234603
184	4.829137677
185	4.824156586
186	4.821103899
187	4.818496444
188	4.815090797
189	4.811931678
190	4.808776247
191	4.807016065
192	4.802462117
193	4.798954635
194	4.795267242
195	4.792321238
196	4.787764194
197	4.784700887
198	4.782131697
199	4.777646189
200	4.772128756
201	4.767890821
202	4.763141086
203	4.757396655
204	4.755342878
205	4.752628028
206	4.746996362
207	4.744411607
208	4.740355948
209	4.735411062
210	4.730531246
211	4.725879048
212	4.72416174
213	4.7212492
214	4.716909812
215	4.71379364
216	4.710684385
217	4.7095865
218	4.707013714
219	4.704682359
220	4.699949159
221	4.697003
222	4.69304051
223	4.689561178
224	4.687829137
225	4.684379675
226	4.680572722
227	4.677804815
228	4.676091947
229	4.67481647
230	4.669448782
231	4.667581094
232	4.662047376
233	4.658751824
234	4.654495345
235	4.652857811
